,Target
1,1
3,1
4,0
5,1
6,0
8,0
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,0
18,1
24,0
27,1
28,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,1
49,0
51,1
52,1
53,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,1
67,1
68,1
69,1
71,1
72,1
73,0
74,1
77,1
78,1
79,1
80,0
82,1
83,0
84,0
86,1
88,1
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
100,1
101,1
103,1
104,1
106,1
108,1
109,1
110,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
123,0
125,0
126,1
128,1
130,1
131,0
132,0
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
145,0
146,1
148,1
149,1
152,1
155,0
156,1
158,0
159,1
160,1
164,0
166,1
167,0
169,0
170,1
172,0
175,0
178,0
179,0
182,1
184,1
188,0
191,1
195,1
196,1
197,0
204,1
205,1
209,0
210,0
211,1
212,1
214,0
217,1
218,0
219,1
220,1
221,1
224,1
225,0
226,1
228,1
231,1
232,1
234,0
237,0
241,1
242,1
243,1
244,0
246,1
247,1
250,0
251,1
253,1
254,0
256,1
257,1
258,0
259,1
261,0
262,1
264,1
266,1
268,0
269,1
270,1
271,0
272,1
273,0
274,0
276,1
277,1
279,0
280,1
282,0
284,1
285,1
287,0
288,0
289,0
290,1
292,1
293,1
296,1
297,0
300,1
303,1
304,0
305,1
306,1
307,1
309,0
314,1
318,0
323,1
325,0
328,1
329,1
330,1
331,0
332,1
333,1
334,1
336,1
337,1
338,1
343,1
344,1
347,1
354,0
358,0
360,1
365,1
366,1
367,1
368,1
369,1
370,0
371,0
372,1
374,1
375,1
376,0
377,1
378,1
380,1
382,1
383,1
384,1
385,0
386,0
387,1
391,1
392,1
393,1
395,1
397,0
398,1
399,0
401,1
402,0
403,0
404,0
405,0
410,1
411,0
415,1
417,0
420,1
421,0
422,1
423,1
425,1
426,0
428,1
432,0
434,1
436,0
437,1
438,0
445,1
446,1
447,1
448,1
449,1
450,1
451,0
453,1
454,0
456,1
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
473,1
474,1
476,1
477,1
481,1
484,1
487,1
488,0
489,1
490,1
491,1
493,1
494,1
499,0
504,1
505,0
507,1
509,1
511,0
512,0
515,1
516,1
517,1
520,1
521,1
528,1
534,1
535,1
538,1
539,1
540,1
541,0
543,0
544,0
547,0
548,0
550,1
552,1
553,1
554,1
556,1
559,0
563,0
564,0
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,1
579,0
584,1
586,1
588,1
589,1
591,1
592,1
593,1
599,0
600,0
603,1
605,1
607,1
608,0
609,1
614,0
616,0
622,0
623,1
624,0
625,1
626,1
