,CRIM,ZN,CHAS,NOX,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,Price,Price_Est,SST,SSR,RMSE
0,0.00632,18,0,0.538,6.575,4.09,1,296,15.3,396.9,4.98,24,30.12087591,2.152657283,57.57880007,37.46512193
1,0.02731,0,0,0.469,6.421,4.9671,2,242,17.8,396.9,9.14,21.6,24.99498503,0.870127638,6.06232396,11.52592333
2,0.02729,0,0,0.469,7.185,4.9671,2,242,17.8,392.83,4.03,34.7,30.53204459,148.0406019,63.9878129,17.37185227
3,0.03237,0,0,0.458,6.998,6.0622,3,222,18.7,394.63,2.94,33.4,28.64719895,118.0958984,37.38579721,22.5891178
4,0.06905,0,0,0.458,7.147,6.0622,3,222,18.7,396.9,5.33,36.2,27.98175824,186.792183,29.69107698,67.53949763
5,0.02985,0,0,0.458,6.43,6.0622,3,222,18.7,394.12,5.21,28.7,25.29711832,38.03427784,7.641420811,11.57960373
6,0.08829,12.5,0,0.524,6.012,5.5605,5,311,15.2,395.6,12.43,22.9,22.97862821,0.134831196,0.198757158,0.006182396
7,0.14455,12.5,0,0.524,6.172,5.9505,5,311,15.2,396.9,19.15,27.1,19.49885063,20.85925807,9.204887154,57.77747175
8,0.21124,12.5,0,0.524,5.631,6.0821,5,311,15.2,386.63,29.93,16.5,11.50937751,36.39475214,121.5159827,24.9063128
9,0.17004,12.5,0,0.524,6.004,6.5921,5,311,15.2,386.71,17.1,18.9,18.87626539,13.19728179,13.37029157,0.000563332
10,0.22489,12.5,0,0.524,6.377,6.3467,5,311,15.2,392.52,20.45,15,18.95794803,56.74317112,12.77961179,15.66535264
11,0.11747,12.5,0,0.524,6.009,6.2267,5,311,15.2,396.9,13.27,18.9,21.54272956,13.19728179,0.980251995,6.984019538
12,0.09378,12.5,0,0.524,5.889,5.4509,5,311,15.2,390.5,15.71,21.7,20.91247822,0.693566373,2.625463171,0.620190557
13,0.62976,0,0,0.538,5.949,4.7075,4,307,21,396.9,8.26,20.4,19.58717317,4.548862816,8.676754702,0.660687462
14,0.63796,0,0,0.538,6.096,4.4619,4,307,21,380.02,10.26,18.2,19.30954261,18.77321064,10.389429,1.231084795
15,0.62739,0,0,0.538,5.834,4.4986,4,307,21,395.62,8.47,19.9,19.3404211,6.93166914,10.19132339,0.313128541
16,1.05393,0,0,0.538,5.935,4.4986,4,307,21,386.85,6.58,23.1,20.58429877,0.321708666,3.796681696,6.328752689
17,0.7842,0,0,0.538,5.99,4.2579,4,307,21,386.75,14.67,17.5,16.95315439,25.3291395,31.13251571,0.299040121
18,0.80271,0,0,0.538,5.456,3.7965,4,307,21,288.99,11.69,20.2,16.25800529,5.441985346,39.37312807,15.53932233
19,0.7258,0,0,0.538,5.727,3.7965,4,307,21,390.95,11.28,18.2,18.45906993,18.77321064,16.59532821,0.067117229
20,1.25179,0,0,0.538,5.57,3.7979,4,307,21,376.57,21.02,13.6,12.57925363,79.79502882,99.07321115,1.041923144
21,0.85204,0,0,0.538,5.965,4.0123,4,307,21,392.53,13.83,19.6,17.71010565,8.601352935,23.25844175,3.571700639
22,1.23247,0,0,0.538,6.142,3.9769,4,307,21,396.9,18.72,15.2,15.87971882,53.77004859,44.26357331,0.462017677
23,0.98843,0,0,0.538,5.813,4.0952,4,307,21,394.54,19.88,14.5,13.85069595,64.52597744,75.37904058,0.421595752
24,0.75026,0,0,0.538,5.924,4.3996,4,307,21,394.33,16.3,15.6,15.7130683,48.06380353,46.50882677,0.01278444
25,0.84054,0,0,0.538,5.599,4.4546,4,307,21,303.42,16.51,13.9,13.43045444,74.52534503,82.85280975,0.220473029
26,0.67191,0,0,0.538,5.813,4.682,4,307,21,376.88,14.81,16.6,15.49443436,35.19819088,49.53867996,1.222275393
27,0.95577,0,0,0.538,6.047,4.4534,4,307,21,306.38,17.28,14.8,14.74799755,59.79629365,60.60324762,0.002704255
28,0.77299,0,0,0.538,6.495,4.4547,4,307,21,387.94,12.8,18.4,19.56874319,17.08008811,8.785670239,1.365960654
29,1.00245,0,0,0.538,6.674,4.239,4,307,21,380.23,11.98,21,20.90316052,2.349495227,2.655745447,0.009377885
30,1.13081,0,0,0.538,5.713,4.233,4,307,21,360.17,22.6,12.7,11.5082949,96.68408021,121.5398522,1.420161055
31,1.35472,0,0,0.538,6.072,4.175,4,307,21,376.73,13.04,14.5,18.08543805,64.52597744,19.77908455,12.85536602
32,1.38799,0,0,0.538,5.95,3.99,4,307,21,232.6,27.71,13.2,8.887234884,87.10127388,186.2016199,18.59994295
33,1.15172,0,0,0.538,5.701,3.7872,4,307,21,358.77,18.35,13.1,14.33388471,88.97783515,67.2223156,1.522471483
34,1.61282,0,0,0.538,6.096,3.7598,4,307,21,248.31,20.34,13.5,13.75918145,81.59159009,76.9764934,0.067175025
35,0.06417,0,0,0.499,5.933,3.3603,5,279,19.2,396.9,9.68,18.9,23.86789496,13.19728179,1.782461671,24.67998035
36,0.09744,0,0,0.499,5.841,3.3779,5,279,19.2,377.56,11.41,20,22.40430977,6.415107875,0.016511363,5.780705489
