,,,,,,,,,,const,CRIM,ZN,CHAS,NOX,,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,,,,,,
,,,,,,,,,,36.3411,-0.1084,0.0458,2.7187,-17.376,,3.8016,-1.4927,0.2996,-0.0118,-0.9465,0.0093,-0.5226,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,price,const,,,,,,,,,,,,price_est,SST
0,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24,36.3411,-0.000685088,0.8244,0,-9.348288,24.99552,-6.105143,0.2996,-3.4928,-14.48145,3.69117,-2.602548,30.12087591,
1,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6,36.3411,-0.002960404,0,0,-8.149344,24.4100736,-7.41439017,0.5992,-2.8556,-16.8477,3.69117,-4.776564,24.99498503,
2,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7,36.3411,-0.002958236,0,0,-8.149344,27.314496,-7.41439017,0.5992,-2.8556,-16.8477,3.653319,-2.106078,30.53204459,
3,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4,36.3411,-0.003508908,0,0,-7.958208,26.6035968,-9.04904594,0.8988,-2.6196,-17.69955,3.670059,-1.536444,28.64719895,
4,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2,36.3411,-0.00748502,0,0,-7.958208,27.1700352,-9.04904594,0.8988,-2.6196,-17.69955,3.69117,-2.785458,27.98175824,
5,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7,36.3411,-0.00323574,0,0,-7.958208,24.444288,-9.04904594,0.8988,-2.6196,-17.69955,3.665316,-2.722746,25.29711832,
6,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9,36.3411,-0.009570636,0.5725,0,-9.105024,22.8552192,-8.30015835,1.498,-3.6698,-14.3868,3.67908,-6.495918,22.97862821,
7,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1,36.3411,-0.01566922,0.5725,0,-9.105024,23.4634752,-8.88231135,1.498,-3.6698,-14.3868,3.69117,-10.00779,19.49885063,
8,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.5,36.3411,-0.022898416,0.5725,0,-9.105024,21.4068096,-9.07875067,1.498,-3.6698,-14.3868,3.595659,-15.641418,11.50937751,
9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9,36.3411,-0.018432336,0.5725,0,-9.105024,22.8248064,-9.84002767,1.498,-3.6698,-14.3868,3.596403,-8.93646,18.87626539,
10,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15,36.3411,-0.024378076,0.5725,0,-9.105024,24.2428032,-9.47371909,1.498,-3.6698,-14.3868,3.650436,-10.68717,18.95794803,
11,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9,36.3411,-0.012733748,0.5725,0,-9.105024,22.8438144,-9.29459509,1.498,-3.6698,-14.3868,3.69117,-6.934902,21.54272956,
